h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.02	0.01	0.05	5000	12	0.490900972	0.926789834	0.004735415	0.02	0.202380952	0.370750107	1	-1.30E-17	0.88146075	0.980512471	0.980283255	-0.069252207	-0.051373492
0.5	100	0.02	0.01	0.05	5000	13	0.605367952	1.083698724	0.002161373	0.02	0.302325581	0.468730718	1	-1.29E-17	1.018676789	0.984459685	0.98481472	0.099790133	0.128194108
0.5	100	0.02	0.01	0.05	5000	14	0.458159471	0.860658014	0.00597298	0.02	0.175925926	0.384210203	1	3.02E-17	0.838177454	0.976942501	0.976651164	-0.098835644	-0.083439732
0.5	100	0.02	0.01	0.05	5000	15	0.728305589	1.024593199	0.000443059	0.02	0.210084034	0.47182257	1	4.45E-18	1.022172897	0.975538456	0.975284894	-0.061925737	-0.047717106
0.5	100	0.02	0.01	0.05	5000	16	0.688368154	1.060853989	0.009878826	0.02	0.254901961	0.508548631	1	9.37E-19	1.001780907	0.98376991	0.982943817	0.063480931	0.084201341
0.5	100	0.02	0.01	0.05	5000	17	0.588962559	1.042709607	0.000430639	0.02	0.302083333	0.546966199	1	-2.05E-18	0.990858808	0.981094094	0.982248883	-0.000559202	0.023532886
0.5	100	0.02	0.01	0.05	5000	18	0.604261668	1.026638358	9.96E-06	0.02	0.212962963	0.479318005	1	-1.89E-17	0.99724219	0.9815721	0.982191308	-0.105331604	-0.084328907
0.5	100	0.02	0.01	0.05	5000	19	0.834930873	1.151627299	0.029337234	0.02	0.313253012	0.543947968	1	-4.20E-17	1.100871999	0.983021023	0.983166147	0.015565238	0.039230381
0.5	100	0.02	0.01	0.05	5000	20	0.761405176	1.046040951	0.010263114	0.02	0.260162602	0.484206462	1	2.29E-17	1.007150402	0.980209834	0.980378818	0.016354103	0.034240455
0.5	100	0.02	0.01	0.05	5000	21	0.67719295	1.112313696	0.001449934	0.02	0.231578947	0.537467083	1	-8.20E-17	1.095545311	0.982246407	0.98186307	-0.112597216	-0.093821944
0.5	100	0.02	0.01	0.05	5000	22	0.704162893	1.106501872	0.002251683	0.02	0.192982456	0.491594201	1	5.71E-18	1.107832574	0.979570451	0.979400722	-0.008801985	0.010009836
0.5	100	0.02	0.01	0.05	5000	23	0.552466437	0.927099684	0.008498027	0.02	0.236363636	0.440179598	1	2.39E-18	0.896942961	0.977659304	0.976790159	-0.015524682	0.004457337
0.5	100	0.02	0.01	0.05	5000	24	0.582118997	0.957836951	5.96E-05	0.02	0.307692308	0.460608768	1	-2.30E-17	0.861765776	0.98160173	0.981083742	-0.059400028	-0.035975999
0.5	100	0.02	0.01	0.05	5000	25	0.790902112	1.091627164	0.09641329	0.02	0.22	0.542575144	1	-4.57E-17	1.080265166	0.986159783	0.986178199	-0.074014161	-0.057819157
0.5	100	0.02	0.01	0.05	5000	26	0.488898862	1.131364382	2.27E-06	0.02	0.288461538	0.575254138	1	-1.70E-17	1.095708664	0.98611315	0.985809306	-0.04507199	-0.027432276
0.5	100	0.02	0.01	0.05	5000	27	0.72185131	1.189717752	0.00011572	0.02	0.276595745	0.561254971	1	6.15E-17	1.125677757	0.981161672	0.979433215	0.08863469	0.1154442
0.5	100	0.02	0.01	0.05	5000	28	0.658436097	1.076015609	0.001977265	0.02	0.247787611	0.504806459	1	-2.93E-17	1.036915384	0.981089238	0.981992652	0.091806721	0.126057153
0.5	100	0.02	0.01	0.05	5000	29	0.691205474	1.072447951	0.001505134	0.02	0.298969072	0.522337492	1	1.31E-17	1.060476079	0.982868669	0.981978396	0.04392166	0.067790895
0.5	100	0.02	0.01	0.05	5000	30	0.627580631	1.071997998	5.30E-05	0.02	0.311111111	0.553688633	1	-3.48E-17	1.025824171	0.98122632	0.980200505	-0.05918179	-0.034339576
0.5	100	0.02	0.01	0.05	5000	31	0.636254045	0.998506271	0.001292702	0.02	0.283018868	0.441300568	1	-2.41E-17	0.952025532	0.984836976	0.985169012	-0.008427213	0.006568875
0.5	100	0.02	0.01	0.05	5000	32	0.566460953	0.847059745	0.01708292	0.02	0.217821782	0.384336527	1	1.35E-17	0.816329695	0.980273712	0.979394474	-0.085002568	-0.06857915
0.5	100	0.02	0.01	0.05	5000	33	0.544069322	1.112878076	1.33E-05	0.02	0.285714286	0.51203764	1	4.12E-17	1.06258152	0.983321459	0.983376558	0.050209769	0.108065439
0.5	100	0.02	0.01	0.05	5000	34	0.525039501	1.033958061	0.000168864	0.02	0.19266055	0.485183944	1	-4.63E-17	0.976014052	0.983070095	0.983193776	-0.201411396	-0.187265599
